title	publisher	1	2
Revista Jurídica Piélagus	Universidad Surcolombiana	2539-522X	1657-6799
Razón Crítica	Universidad de Bogota Jorge Tadeo Lozano	2539-5300	2500-7807
International Journal of Management Science and Operations Research	Corporacion Universidad de la Costa - CUC	2539-5416	
Asian International Journal of Social Sciences	Asian International Journal of Social Sciences	2539-6102	
JURNAL PENDIDIKAN ILMU SOSIAL	Universitas Pendidikan Indonesia	2540-7694	0854-5251
Teosofia	UIN Walisongo Semarang	2540-8186	2302-8017
Perspektif	Indonesian Agency For Agricultural Research and Development (IAARD)	2540-8240	1412-8004
Jurnal Ilmiah Psikologi Terapan	Universitas Muhammadiyah Malang	2540-8291	2301-8267
Medicina Journal	DiscoverSys, Inc.	2540-8321	2540-8313
JEEE-U (Journal of Electrical and Electronic Engineering-UMSIDA)	Muhammadiyah University Sidoarjo	2540-8658	2460-9250
CosmoGov	Universitas Padjadjaran	2540-8674	2442-5958
Jurnal Pengabdian Pada Masyarakat	Universitas Mathla ul Anwar Banten	2540-8747	2540-8739
Bahtera Jurnal Pendidikan Bahasa dan Sastra	Universitas Negeri Jakarta	2540-8968	0853-2710
Jurnal Bina Mulia Hukum	Jurnal Bina Mulia Hukum	2540-9034	2528-7273
Jurnal Administrasi Kesehatan Indonesia	Universitas Airlangga	2540-9301	2303-3592
Journal of Earth Energy Engineering	Journal of Earth Energy Engineering	2540-9352	2301-8097
Journal of Tropical Biodiversity and Biotechnology	Universitas Gadjah Mada	2540-9581	2540-9573
Jurnal Akuntansi	Program Studi Akuntansi Fakultas Ekonomi	2540-9646	2088-768X
Jurnal Penelitian Hutan dan Konservasi Alam	Research, Development and Innovation Agency, Ministry of Environment and Forestry	2540-9689	0216-0439
Journal of Information Technology and Computer Science	Fakultas Ilmu Komputer Universitas Brawijaya	2540-9824	2540-9433
SEJ (Science Education Journal)	Muhammadiyah University Sidoarjo	2540-9859	
Informatika Pertanian	Indonesian Agency For Agricultural Research and Development (IAARD)	2540-9875	0852-1743
Ijtimā`iyya Journal of Muslim Society Research	IAIN Purwokerto	2541-0040	2541-2736
Lingua Didaktika Jurnal Bahasa dan Pembelajaran Bahasa	Universitas Negeri Padang (UNP)	2541-0075	1979-0457
Mudra Jurnal Seni Budaya	Institut Seni Indonesia Denpasar	2541-0407	0854-3461
PSEJ (Pancasakti Science Education Journal)	Universitas Pancasakti	2541-0628	2528-6714
Jurnal Perpustakaan Pertanian	Indonesian Agency For Agricultural Research and Development (IAARD)	2541-0814	0854-1078
Jurnal Penelitian dan Pengembangan Pertanian	Indonesian Agency For Agricultural Research and Development (IAARD)	2541-0822	0216-4418
Proceeding of Chemistry Conferences	Universitas Sebelas Maret	2541-108X	
ARTEKS Jurnal Teknik Arsitektur	Prodi. Teknik Arsitektur Universitas Katolik Widya Mandira	2541-1217	2541-0598
Majalah ilmiah Pengkajian Industri	Badan Pengkajian dan Penerapan Teknologi (BPPT)	2541-1233	1410-3680
Jurnal Ad ministrare	Universitas Negeri Makassar	2541-1306	2407-1765
Jurnal Agro Ekonomi	Indonesian Agency For Agricultural Research and Development (IAARD)	2541-1527	0216-9053
Agro Ekonomi	Universitas Gadjah Mada	2541-1616	0215-8787
Natural Science Journal of Science and Technology	Universitas Tadulako	2541-1969	2338-0950
Buletin Teknik Litkayasa Akuakultur	Agency for Marine and Fisheries Research and Development	2541-2442	1412-9574
BULETIN TEKNIK LITKAYASA Sumber Daya dan Penangkapan	Agency for Marine and Fisheries Research and Development	2541-2450	1693-7961
JPSE (Journal of Physical Science and Engineering)	State University of Malang (UM)	2541-2485	
Chimica et Natura Acta	Universitas Padjadjaran	2541-2574	2355-0864
Kanal Jurnal Ilmu Komunikasi	Muhammadiyah University Sidoarjo	2541-2841	2302-6790
Buletin Ilmiah Marina Sosial Ekonomi Kelautan dan Perikanan	Agency for Marine and Fisheries Research and Development	2541-2930	2502-0803
Plano Madani Jurnal Perencanaan Wilayah dan Kota	Universitas Islam Negeri Alauddin Makassar	2541-2973	2301-878X
SPEKTRA Jurnal Fisika dan Aplikasinya	Universitas Negeri Jakarta	2541-3392	2541-3384
Indonesian EFL Journal	University of Kuningan	2541-3635	2252-7427
PRofesi Humas Jurnal Ilmiah Ilmu Hubungan Masyarakat	Universitas Padjadjaran	2541-3678	2528-6927
Dunamis Jurnal Teologi dan Pendidikan Kristiani	Sekolah Tinggi Teologi Intheos Surakarta	2541-3945	2541-3937
Jurnal Penelitian Pascapanen Pertanian	Indonesian Agency For Agricultural Research and Development (IAARD)	2541-4054	0216-1192
Jurnal Biodjati	Sunan Gunung Djati State Islamic University of Bandung	2541-4208	2548-1606
Jurnal Daya Matematis	Universitas Negeri Makassar	2541-4232	2354-7146
Jurnal Manajemen	Program Studi Manajemen Fakultas Ekonomi	2541-4348	2088-7698
Vision Journal for Language and Foreign Language Learning	UIN Walisongo Semarang	2541-4399	2252-8385
NurseLine Journal	UPT Penerbitan Universitas Jember	2541-464X	2540-7937
Insaniyat Journal of Islam and Humanities	LP2M Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta	2541-500X	
JICTE (Journal of Information and Computer Technology Education)	Muhammadiyah University Sidoarjo	2541-5107	
PROZIMA (Productivity Optimization and Manufacturing System Engineering)	Muhammadiyah University Sidoarjo	2541-5115	
JOINCS (Journal of Informatics Network and Computer Science)	Muhammadiyah University Sidoarjo	2541-5123	
Bulletin of Scientific Contribution	Universitas Padjadjaran	2541-514X	1693-4873
Jurnal Penelitian Pertanian Tanaman Pangan	Indonesian Agency For Agricultural Research and Development (IAARD)	2541-5174	2541-5166
Bina Hukum Lingkungan	Jurnal Bina Hukum Lingkungan	2541-531X	2541-2353
JURNAL PENELITIAN ILMU PENDIDIKAN	Universitas Negeri Yogyakarta	2541-5492	1979-9594
Jurnal Ekonomi & Studi Pembangunan	JK School of Gov, Universitas Muhammadiyah Yogyakarta	2541-5506	1411-9900
Journal of Industrial Hygiene and Occupational Health	Universitas Darussalam Gontor	2541-5727	2527-4686
Management and Business Review	University of Kanjuruhan Malang	2541-5808	
Jurnal Riset Teknologi Industri	Balai Riset dan Standardisasi Industri Samarinda	2541-5905	1978-6891
Al-Khwarizmi Jurnal Pendidikan Matematika dan Ilmu Pengetahuan Alam	Institut Agama Islam Negeri (IAIN) Palopo	2541-6499	2337-7666
Medico-Biological and Socio-Psychological Problems of Safety in Emergency Situations	NRCERM EMERCOM of Russia	2541-7487	1995-4441
VESTNIK of the Samara State Aerospace University	Samara National Research University	2541-7533	2542-0453
Issues of Applied Linguistics	The Business and Vocational Foreign Languages Teachers National Association	2541-7614	2306-1286
Shadow Economy	BIBLIO-GLOBUS Publishing House	2541-7681	
Agro-industrial technologies of the Central Russia	Bunin Yelets State University	2541-7835	
Politechnical student journal	Bauman Moscow State Technical University	2541-8009	
Science Editor and Publisher	Association of Science Editors and Publishers	2541-8122	2542-0267
Nordic and Baltic Studies Review	Petrozavodsk State University	2541-8165	
Metal Working and Material Science	Novosibirsk State Technical University	2541-819X	1994-6309
BULLETIN OF VETERINARY PHARMACOLOGY	Kniga - Service Agency Ltd.	2541-8203	
Scientific and methodological journal Science and education modern time	Infra-M Academic Publishing House	2541-822X	
Arctic Environmental Research	Kniga - Service Agency Ltd.	2541-8416	
Advanced Materials & Technologies	Tambov State Technical University	2541-8513	2414-4606
Voprosy sovremennoj nauki i praktiki Universitet imeni V I Vernedskogo	Tambov State Technical University	2541-853X	1990-9047
Meždunarodnoe pravosudie	Institute for Law and Public Policy	2541-8548	2226-2059
Studia Litterarum	Ð. M. Gorky Institute of World Literature of the Russian Academy of Sciences	2541-8564	2500-4247
The Bulletin of Irkutsk State University Series Mathematics	Irkutsk State University	2541-8785	1997-7670
Islamology	Mardjani Foundation for Support and Development of Research and Cultural Programs	2541-884X	
Geosystems of Transition Zones	Institute of Marine Geology and Geophysics of the Far East Branch of the RAS	2541-8912	
Safety of technogenic and natural systems	FSFEI HE Don State Technical University	2541-9129	
Bulletin of Kemerovo State University Series Humanities and Social Sciences	Kemerovo State University	2541-9145	2542-1840
Law Journal of the Higher School of Economics	National Research University, Higher School of Economics (HSE)	2541-9234	2072-8166
Environmental Dynamics and Global Climate Change	ECO-Vector	2541-9307	2218-4422
Vestnik of Saint Petersburg University History	Saint Petersburg State University	2541-9390	1812-9323
Nephrology (Saint-Petersburg)	FSBEI HE I.P. Pavlov SPbSMU MOH Russia	2541-9439	1561-6274
Siberian Journal of Physics	Novosibirsk State University (NSU)	2541-9447	
Proceedings of the Siberian Department of the Section of Earth Sciences of the Russian Academy of Natural Sciences Geology Exploration and Development of Mineral Deposits	Irkutsk National Research Technical University	2541-9463	2541-9455
Kuban Scientific Medical Bulletin	Kuban State Medical University	2541-9544	1608-6228
SCIENCE & TECHNOLOGIES OIL AND OIL PRODUCTS PIPELINE TRANSPORTATION	The Pipeline Transport Institute	2541-9595	
Russian Pulmonology	Scientific and Practical Reviewed Journal Pulmonology	2541-9617	0869-0189
MAGNA ADSURGIT HISTORIA STUDIORUM	Kalmyk Institute for Humanities of the RAS	2541-9749	
Earth`s Cryosphere	Academic Publishing House Geo, Ltd.	2541-9994	
Humanitarian Vector	Transbaikal State University	2542-0038	1996-7853
Scholarly Notes of Transbaikal State University Series Pedagogical Sciences	Transbaikal State University	2542-0070	2542-0089
Outlines of global transformations politics economics law	Center for Crisis Society Studies	2542-0240	
Herald of Dagestan State University	Dagestan State University	2542-0313	
HERALD of Dagestan State University	Dagestan State University	2542-0321	
Proceedings of the Mavlyutov Institute of Mechanics	Mavlutov Institute of Mechanics	2542-0380	
Vestnik of Samara University History pedagogics philology	Samara National Research University	2542-0445	
Journal of Central Asia Economy	BIBLIO-GLOBUS Publishing House	2542-0607	
Природа Внутренней Азии Nature of Inner Asia	Buryat State University	2542-0623	
Bulletin of Kemerovo State University Series Political Sociological and Economic sciences	Kemerovo State University	2542-1190	2500-3372
Bulletin of Russian State Medical University	Pirogov Russian National Research Medical University	2542-1204	2500-1094
Journal of Medical and Biological Research	Kniga - Service Agency Ltd.	2542-1298	
Almanac “Essays on Conservatism”	Essays on Conservatism	2542-1301	2409-2517
Genij Ortopedii	Russian Ilizarov Scientific Centre Restorative Traumatology and Orthopaedics	2542-131X	1028-4427
Communications Media Design	National Research University, Higher School of Economics (HSE)	2542-1395	
Vestnik Tambovskogo gosudarstvennogo tehnicheskogo universiteta	Tambov State Technical University	2542-1409	0136-5835
Sravnitel noe konstitucionnoe obozrenie	Institute for Law and Public Policy	2542-1417	1812-7126
Известия Восточного института	FSAEIHE Far Eastern Federal University (FEFU)	2542-1611	
Reviews on Clinical Pharmacology and Drug Therapy	ECO-Vector	2542-1875	1683-4100
Safety and Reliability of Power Industry	NPO Energobezopasnost	2542-2057	1999-5555
Biological Communications	Saint Petersburg State University	2542-2154	
Consilium Medicum	MediaMedica	2542-2170	2075-1753
Vestnik of Saint Petersburg University Arts	Saint Petersburg State University	2542-2243	2221-3007
TRANSACTIONS OF THE KRYLOV STATE RESEARCH CENTRE	Krylov State Research Centre	2542-2324	
Nations and religions of the Eurasia	Altai State University	2542-2332	
Literary Fact	Ð. M. Gorky Institute of World Literature of the Russian Academy of Sciences	2542-2421	2541-8297
Bulletin of Kemerovo State University Series Biological Engineering and Earth Sciences	Kemerovo State University	2542-2456	2542-2448
Rossijskoe pravo onlajn	Kutafin Moscow State Law University	2542-2472	
Himalayan Physics	Nepal Journals Online	2542-2545	
In Analysis	Elsevier	2542-3606	
Frontiers in Laboratory Medicine	Elsevier	2542-3649	
Journal of Second Language Studies	John Benjamins Publishing Company	2542-3843	2542-3835
Asia Pacific Journal of Clinical Trials Nervous System Diseases	Medknow Publications	2542-3932	
Clinical Trials in Degenerative Diseases	Medknow Publications	2542-3975	
Clinical Trials in Orthopedic Disorders	Medknow Publications	2542-4157	
International Journal of Asian Christianity	Brill Academic Publishers	2542-4246	2542-4238
Joule	Elsevier	2542-4351	
JMV-Journal de Médecine Vasculaire	Elsevier	2542-4513	
Mayo Clinic Proceedings Innovations Quality & Outcomes	Elsevier	2542-4548	
Corporate Mediation Journal	Boom Uitgevers Den Haag	2542-4602	
Saudi Journal of Laparoscopy	Medknow Publications	2542-4629	
Dutch Journal of Finance and Management	Lectito BV	2542-4750	
Journal of Alzheimer s Disease Reports	IOS Press	2542-4823	
Aquademia Water Environment and Technology	Lectito BV	2542-4874	
Feminist Encounters A Journal of Critical Studies in Culture and Politics	Lectito BV	2542-4920	
International Journal of Forensic Odontology	Medknow Publications	2542-5013	
Bridging Humanities	Brill Academic Publishers	2542-5099	
Australian Review of Applied Linguistics Series S	John Benjamins Publishing Company	2542-5102	0817-9514
Family & Law	Boom Uitgevers Den Haag	2542-5242	
Translation Cognition & Behavior	John Benjamins Publishing Company	2542-5285	2542-5277
Materials Today Physics	Elsevier	2542-5293	
Tijdschrift voor Ontslagrecht	Boom Uitgevers Den Haag	2542-5315	
Clinical Dermatology Review	Medknow Publications	2542-551X	
Oncology Signaling	Elsevier	2542-5633	
Liver Research	Elsevier	2542-5684	
Current Dentistry	Bentham Science	2542-579X	
Current Melanoma Research & Therapy	Bentham Science	2542-5846	
Current Antiplatelet Therapy	Bentham Science	2542-6117	
The Journal of Cardiothoracic Trauma	Medknow Publications	2542-6281	
The Arab Journal of Interventional Radiology	Medknow Publications	2542-7075	
China Law and Society Review	Brill Academic Publishers	2542-7466	2542-7458
The Maastricht Journal of Liberal Arts	University of Maastricht	2542-7741	2542-7733
Crimmigratie & Recht	Boom Uitgevers Den Haag	2542-9248	
Pediatric Respirology and Critical Care Medicine	Medknow Publications	2543-0343	
Journal of The Indian Academy of Echocardiography & Cardiovascular Imaging	Medknow Publications	2543-1463	
Saudi Critical Care Journal	Medknow Publications	2543-1854	
Archives of Medicine and Surgery	Medknow Publications	2543-1951	
The Veterinary Journal and Annals of Comparative Pathology	Elsevier	2543-3377	
Journal d imagerie diagnostique et interventionnelle	Elsevier	2543-3431	
مجلة الاقتصاد والمالية	Al Manhal FZ, LLC	2543-3695	2437-0630
MAZOWSZE Studia Regionalne	Mazowieckie Biuro Planowania Regionalnego w Warszawie	2543-4373	1689-4774
Cognitive Science – New Media – Education	Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University	2543-506X	
STUDIA MIEJSKIE	Uniwersytet Opolski	2543-5302	2082-4793
Jakościowe Badania Pedagogiczne	University of Szczecin	2543-5655	
Advances in respiratory medicine	VM Media Sp zo.o. - VMGroup SK	2543-6031	2451-4934
Heart Beat Journal	Fundacja Heart Beat	2543-6333	
Blood Science	De Gruyter Open Sp. z o.o.	2543-6368	
Research Papers in Economics and Finance	Poznan University of Economics	2543-6430	
Wiadomości Botaniczne	Polish Botanical Society	2543-6503	
Letters in Oncology Science	Greater Poland Cancer Centre	2543-6724	
Central European Economic Journal	Walter de Gruyter GmbH	2543-6821	
Czasopismo Naukowe Instytutu Studiów Kobiecych	University of Bialystok	2543-7011	2451-3539
Studia Środkowoeuropejskie i Bałkanistyczne	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2543-733X	
Tertium	Estonian Literary Museum Scholary Press	2543-7844	
Open Political Science	Walter de Gruyter GmbH	2543-8042	
Advanced Research in Life Sciences	Walter de Gruyter GmbH	2543-8050	
Polonia University Scientific Journal	Polonia University in Czestochowa	2543-8204	1895-9911
UR Journal of Humanities and Social Sciences	University of Rzeszow	2543-8379	
Zarządzanie Finansami i Rachunkowość	Warsaw University of Life Sciences â SGGW Press	2543-8557	2300-9683
Metody Ilościowe w Badaniach Ekonomicznych	Warsaw University of Life Sciences â SGGW Press	2543-8565	2082-792X
Prace Komisji Geografii Komunikacji PTG	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2543-859X	1426-5915
Annals of Marketing Management and Economics	Warsaw University of Life Sciences â SGGW Press	2543-8840	2449-7479
Turystyka i Rozwój Regionalny	Warsaw University of Life Sciences â SGGW Press	2543-8859	2353-9178
Open Philosophy	Walter de Gruyter GmbH	2543-8875	
New Horizons in English Studies	Wydawnictwo Uniwersytetu Marii Curie-SkÅodowskiej w Lublinie	2543-8980	
Pomiędzy Polonistyczno-Ukrainoznawcze Studia Naukowe	Wydawnictwo Adam Marszalek	2543-9227	
Data and Information Management	Walter de Gruyter GmbH	2543-9251	
Roczniki Naukowe Ekonomii Rolnictwa i Rozwoju Obszarów Wiejskich	Warsaw University of Life Sciences â SGGW Press	2543-9294	2353-4362
Konwersatorium Wiedzy o Mieście	Uniwersytet Lodzki (University of Lodz)	2543-9421	
Etnografia Praktyki Teorie Doświadczenia	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2543-9537	
Kultura Słowian Rocznik Komisji Kultury Słowian PAU	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2543-9561	2451-4985
Environment Earth and Ecology	Mlodzi Naukowcy	2543-9774	2451-4225
Geopolitics under Globalization	LLC CPC Business Perspectives	2543-9820	2543-5493
Dydaktyka Informatyki	University of Rzeszow	2543-9847	2083-3156
Zeszyty Naukowe SGGW - Ekonomika i Organizacja Gospodarki Żywnościowej	Warsaw University of Life Sciences â SGGW Press	2543-9863	2081-6979
Zeszyty Problemowe Postępów Nauk Rolniczych	Warsaw University of Life Sciences â SGGW Press	2543-9871	0084-5477
Journal of Casting & Materials Engineering	AGH University of Science and Technology Press	2543-9901	
Progress	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2543-9928	
OphthaTherapy Therapies in Ophthalmology	Medical Education	2543-9987	2353-7175
Labor et Educatio	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2544-0179	2353-4745
The Central European Review of Economics and Management	WSB University in Wroclaw Publication Department	2544-0365	2543-9472
Rocznik Biblioteki Naukowej PAU i PAN	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2544-0500	0079-3140
Niepełnosprawność	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2544-0519	2080-9476
Zeszyty Naukowe SGGW Polityki Europejskie Finanse i Marketing	Warsaw University of Life Sciences â SGGW Press	2544-0640	2081-3430
Zeszyty Naukowe SGGW w Warszawie - Problemy Rolnictwa Światowego	Warsaw University of Life Sciences â SGGW Press	2544-0659	2081-6960
Ask Research and Methods	The Ohio State University Libraries	2544-0799	1234-9224
Przestrzeń Urbanistyka Architektura	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2544-0853	
Kultura - Przemiany - Edukacja	University of Rzeszow	2544-1205	2300-9888
European Journal of Clinical and Experimental Medicine	University of Rzeszow	2544-1361	
Accounting and Financial Control	LLC CPC Business Perspectives	2544-1450	2543-5485
Mathematics of Quantum Technologies	De Gruyter Open Sp. z o.o.	2544-1477	
HIGHER SCHOOL’S PULSE	Index Copernicus International	2544-1620	2544-1558
Information System in Management	Warsaw University of Life Sciences â SGGW Press	2544-1728	2084-5537
Nowadays and Future Jobs	LLC CPC Business Perspectives	2544-2287	
Tourism and Travelling	LLC CPC Business Perspectives	2544-2295	
Prima Educatione	Wydawnictwo Uniwersytetu Marii Curie-SkÅodowskiej w Lublinie	2544-2317	
Media Biznes Kultura	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2544-2554	2451-1986
Studia z Dziejów Średniowiecza	Uniwersytet Jagiellonski â Wydawnictwo Uniwersytetu Jagiellonskiego	2544-2562	2084-4492
Studia Iuridica	Index Copernicus International	2544-3135	0137-4346
Studia Interkulturowe Europy Środkowo-Wschodniej	Index Copernicus International	2544-3143	1898-4215
Medical Journal of Cell Biology	De Gruyter Open Sp. z o.o.	2544-3577	
Journal of Animal Science Biology and Bioeconomy	Uniwersytet Przyrodniczy w Lublinie	2544-4468	
Annales Horticulturae	Uniwersytet Przyrodniczy w Lublinie	2544-4484	
Alergoprofil	Medical Education	2544-5111	1734-7572
Roczniki Ekonomii i Zarządzania	Towarzystwo Naukowe KUL	2544-5197	2081-1837
Roczniki Kulturoznawcze	Towarzystwo Naukowe KUL	2544-5219	2082-8578
Roczniki Nauk Prawnych	Towarzystwo Naukowe KUL	2544-5227	1507-7896
Roczniki Pedagogiczne	Towarzystwo Naukowe KUL	2544-5243	2080-850X
Studia Polonijne	Towarzystwo Naukowe KUL	2544-526X	0137-5210
Society Register	Adam Mickiewicz University Poznan	2544-5502	
Kościół i Prawo	Towarzystwo Naukowe KUL	2544-5804	0208-7928
Roczniki Nauk Społecznych	Towarzystwo Naukowe KUL	2544-5812	0137-4176
Urban Development Issues	Walter de Gruyter GmbH	2544-6258	
Annals of Science and Technology	De Gruyter Open Sp. z o.o.	2544-6320	
Scientific Journal of the Military University of Land Forces	Index Copernicus International	2544-7122	
Computational and Mathematical Biophysics	Walter de Gruyter GmbH	2544-7297	
Open Material Sciences	De Gruyter Open Sp. z o.o.	2544-7300	
Polish Review of International and European Law	Uniwersytet Kardynala Stefana Wyszynskiego	2544-7432	2299-2170
Rocznik Ziem Zachodnich	Osrodek Pamiec i Przyszlosc	2544-8714	
Frontiers of Nursing	Walter de Gruyter GmbH	2544-8994	
Health Promotion & Physical Activity	Index Copernicus International	2544-9117	
Science Technology and Innovation	Index Copernicus International	2544-9125	
Educación Lenguaje y Sociedad	Universidad Nacional de La Pampa	2545-7667	1668-4753
Methodo Investigación Aplicada a las Ciencias Biológicas	Universidad Catolica de Cordoba	2545-8302	
Perspectivas	Universidad Nacional de La Pampa	2545-8566	
International Journal of Computing Sciences Research	STEP Academic Publisher	2546-115X	2546-0552
Coulisses	OpenEdition	2546-9460	1150-594X
New Trends and Issues Proceedings on Advances Pure and Applied Sciences	Sciencepark Research Organization and Counseling	2547-880X	
New Trends and Issues Proceedings on Humanities and Social Sciences	Sciencepark Research Organization and Counseling	2547-8818	
İnönü Üniversitesi Eğitim Bilimleri Enstitüsü Dergisi	Inonu Universitesi Egitim Bilimleri Enstitusu Dergisi	2547-9393	
Bagcilar Medical Bulletin	Yerkure Tanitim ve Yayincilik Hizmetleri	2547-9431	
Journal of Current Researches on Business and Economics	Strategic Researches Academy	2547-9628	
Journal of Current Researches on Health Sector	Strategic Researches Academy	2547-9636	
Journal of Current Researches on Social Sciences	Strategic Researches Academy	2547-9644	
Alanya Akademik Bakış	Alanya Akademik Bakis	2547-9733	
LLM Dergi	Bilimsel Tip Publishing House	2547-9938	
The Journal of International Civilization Studies	The Journal of International Civilization Studies	2548-0146	
Mimarlık Bilimleri ve Uygulamaları Dergisi (MBUD)	Mimarlik Bilimleri ve Uygulamalari Dergisi	2548-0170	
Electronic Journal of New Media	Istanbul Aydin University	2548-0200	
International Journal of Anatolia Sport Sciences	International Journal of Anatolia Sport Sciences	2548-0294	
Current Thoracic Surgery	Current Thoracic Surgery	2548-0316	
International Journal of Energy and Smart Grid	INESEG (International Engineering Science and Education Group)	2548-0332	
Journal of Advances in Mathematical Analysis and Applications	INESEG (International Engineering Science and Education Group)	2548-0340	
International Journal of Health Services Research and Policy	INESEG (International Engineering Science and Education Group)	2548-0359	
Sürdürülebilir Havacılık Araştırmaları Dergisi	Sustainable Aviation Research Society	2548-0464	
Yeni Turk Edebiyati Arastirmalari	Yeni Turk Edebiyati Arastirmalari	2548-0472	
SÖYLEM Filoloji Dergisi	SOYLEM Filoloji Dergisi	2548-0502	
Ekonomik Teori ve Analiz Dergisi	Bulletin of Economic Theory and Analysis	2548-0707	
Current Addiction Research	ScopeMed International Medical Journal Managment and Indexing System	2548-0715	
Spor Bilimleri Araştırmaları Dergisi	Spor Bilimleri Arastirmalari Dergisi	2548-0723	
Istanbul Journal of Pharmacy	AVES Publishing Co.	2548-0731	0367-7524
European Endodontic Journal	Kare Publishing	2548-0839	
Sınırsız Eğitim ve Araştırma Dergisi	Sinirsiz Egitim ve Arastirma Dergisi	2548-0898	
Challenge Journal of Concrete Research Letters	Tulpar Academic Publishing	2548-0928	
International Journal of Engineering and Geosciences	International Journal of Engineering and Geoscience	2548-0960	
Al-Afkar Jurnal Keislaman & Peradaban	Institut Dirosat Islamiyah Al-Amien Prenduan	2548-1711	2089-7472
Kontekstualita	Universitas Islam Negeri (UIN) Sultan Thaha Saifuddin Jambi	2548-1770	1979-598X
Rekayasa Bahan Alam dan Energi Berkelanjutan	Brawijaya University	2548-2181	2548-2300
Midwiferia	Muhammadiyah University Sidoarjo	2548-2246	2442-9139
AL-FALAH Journal of Islamic Economics	STAIN Curup	2548-3102	2548-2343
International Journal of Advances in Intelligent Informatics	Universitas Ahmad Dahlan, Kampus 3	2548-3161	2442-6571
AJIS Academic Journal of Islamic Studies	STAIN Curup	2548-3285	2548-3277
FOKUS Jurnal Kajian Keislaman dan Kemasyarakatan	STAIN Curup	2548-3358	2548-334X
Jurnal Dakwah dan Komunikasi	STAIN Curup	2548-3366	2548-3293
Al-ISTINBATH Jurnal Hukum Islam	STAIN Curup	2548-3382	2548-3374
BELAJEA Jurnal Pendidikan Islam	STAIN Curup	2548-3404	2548-3390
Journal of Accounting Science	Muhammadiyah University Sidoarjo	2548-3501	
Jurnal Ners dan Kebidanan (Journal of Ners and Midwifery)	Journal of Ners and Midwifery	2548-3811	2355-052X
Jurnal Ilmiah SINUS	STMIK Sinar Nusantara Surakarta	2548-4028	1693-1173
Psikoislamedia Jurnal Psikologi	Universitas Islam Negeri Ar-Raniry	2548-4044	2503-3611
Naditira Widya	Badan Penelitian dan Pengembangan Kemdikbud	2548-4125	1410-0932
Journal of Energy Mechanical Material and Manufacturing Engineering	Universitas Muhammadiyah Malang	2548-4281	2541-6332
Jurnal Riset Akuntansi Mercu Buana	Universitas Mercu Buana Yogyakarta	2548-4338	2460-1233
Proceeding TEAM	Universitas Pendidikan Ganesha	2548-4443	
Sosioglobal Jurnal Pemikiran dan Penelitian Sosiologi	Universitas Padjadjaran	2548-4559	2541-3988
ESENSIA Jurnal Ilmu-Ilmu Ushuluddin	Al-Jami'ah Research Centre	2548-4729	1411-3775
Jurnal Studi Ilmu-ilmu Al-Qur an dan Hadis	Al-Jami'ah Research Centre	2548-4737	1411-6855
RELIGI JURNAL STUDI AGAMA-AGAMA	Al-Jami'ah Research Centre	2548-4753	1412-2634
Jurnal Living Hadis	Al-Jami'ah Research Centre	2548-4761	2528-7567
Jurnal Sosiologi Agama	Al-Jami'ah Research Centre	2548-477X	1978-4457
Majalah BIAM	Majalah BIAM	2548-4842	0215-1464
JURNAL SUMBER DAYA AIR	Balai Penelitian dan Pengembangan Irigasi	2548-494X	1907-0276
Jurnal Technopreneur (JTech)	Politeknik Gorontalo	2548-558X	2252-4002
I-ECONOMICS A Research Journal on Islamic Economics	State Islamic University of Raden Fatah Palembang	2548-561X	2548-5601
JURNAL MAHKAMAH	Institut Agama Islam Ma arif NU (IAIMNU) Metro Lampung	2548-5679	2527-4422
Jurnal Analisa Akuntansi dan Perpajakan	Dr. Soetomo University	2548-5881	2548-9283
Indonesian Journal of Nursing Practices	JK School of Gov, Universitas Muhammadiyah Yogyakarta	2548-592X	2548-4249
Jurnal Teknologi Lingkungan	Badan Pengkajian dan Penerapan Teknologi (BPPT)	2548-6101	1411-318X
Jurnal Bioteknologi & Biosains Indonesia (JBBI)	Badan Pengkajian dan Penerapan Teknologi (BPPT)	2548-611X	2442-2606
Proceedings of the ICECRS	Muhammadiyah University Sidoarjo	2548-6160	
Publikasi Pendidikan	Universitas Negeri Makassar	2548-6721	2088-2092
Manajemen Pendidikan	Universitas Muhammadiyah Surakarta	2548-6780	1907-4034
Berkala Arkeologi	Balai Arkeologi Yogyakarta	2548-7132	0216-1419
