issns	missing _issn	Q				
2411-7870,1021-545X	2411-7870	15756196
2158-1762,1022-5706	2158-1762	15752734
2215-4132,1022-9825	2215-4132	50497830
2399-5548,1023-263X	2399-5548	15760278
1477-2779,1023-6732	1477-2779	15755814
2324-2035,1023-9499	2324-2035	7122525
2423-5733,1025-2851	1025-2851	50817531
2224-8862,1026-1613	2224-8862	27721005
2007-4034,1027-152X	2007-4034	27724424
2414-536X,1027-524X	1027-524X	50817507
2224-6851,1027-5487	2224-6851	7676604
2218-2993,1027-5495	2218-2993	5508787
2415-1408,1027-5851	2415-1408	2684343
2224-7297,1028-2092	2224-7297	15758132
1996-9015,1028-365X	1996-9015	15746415
2364-1819,1028-6276	2364-1819	15756620
2008-823X,1028-852X	2008-823X	27020365
1029-0281,1068-2767	1029-0281	15753745
1029-0516,1070-3608	1029-0516	26842785
2376-3981,1029-1954	2376-3981	15817416
1029-2349,1478-6419	1029-2349	6980583
2045-4147,1029-8649	2045-4147	6942492
2325-5676,1030-1763	2325-5676	15762663
1839-2598,1030-570X	1839-2598	7122796
1743-9014,1031-2943	1743-9014	15755326
2164-4756,1033-1867	2164-4756	15753522
2211-050X,1033-2170	2211-050X	15765608
1548-7458,1035-7147	1035-7147	27722507
1835-9310,1035-8811	1835-9310	7714929
1838-6318,1037-0196	1838-6318	15754162
1573-8590,1037-0544	1573-8590	27714675
2204-0536,1037-1656	2204-0536	15756392
1839-2520,1037-2911	1839-2520	15757803
1839-3535,1037-6178	1839-3535	15761570
2398-9084,1037-969X	2398-9084	15752897
1839-4205,1038-3441	1839-4205	15752143
2200-6974,1038-4162	2200-6974	15755337
1949-3614,1040-0435	1949-3614	15749492
1522-1504,1040-0605	1522-1504	4352992
1547-3325,1040-1237	1547-3325	15716688
1040-1620,1940-1612	1040-1620	7742310
2332-7421,1040-2454	2332-7421	15750925
1096-9128,1040-3108	1096-9128	15757588
1096-908X,1040-550X	1096-908X	6295943
1547-657X,1040-6026	1547-657X	15755564
1520-667X,1040-7685	1520-667X	15761632
2163-8152,1041-2905	2163-8152	15039440
1573-7500,1042-1467	1573-7500	4787289
1867-1233,1042-1726	1867-1233	15757644
2374-250X,1042-5055	2374-250X	7743561
1097-0347,1043-3074	1097-0347	13703062
2166-6482,1043-3155	2166-6482	26842724
1522-967X,1043-4682	1522-967X	27709374
1879-1123,1044-0305	1879-1123	3020250
2166-8205,1044-1638	2166-8205	15759670
1538-4802,1044-2073	1538-4802	6295092
1541-4183,1044-4300	1541-4183	26839824
1557-8089,1044-5471	1557-8089	15757436
1522-7111,1045-2699	1522-7111	15751131
1549-9316,1045-4861	1549-9316	27709867
2325-5080,1045-6635	2325-5080	6496198
2155-9902,1046-2821	2155-9902	4033901
1548-7458,1046-7688	1046-7688	27722507
1521-0898,1047-322X	1521-0898	15758376
1541-3721,1047-6938	1541-3721	7098920
2331-5709,1047-7594	2331-5709	15762030
1541-3772,1048-2911	1541-3772	24040407
1931-3756,1048-3713	1931-3756	5532062
2154-3941,1048-3950	2154-3941	8034354
1556-486X,1048-4876	1556-486X	15758337
1540-7357,1049-6467	1540-7357	15759487
1099-1778,1049-8907	1099-1778	15767197
1234-988X,1049-8931	1234-988X	15752770
1522-6301,1050-1827	1522-6301	15757512
1528-686X,1050-2289	1528-686X	15754074
1543-5326,1050-9208	1050-9208	7269303
2379-6529,1051-144X	2379-6529	15762983
1095-4333,1051-2004	1095-4333	15759464
1091-7667,1051-7235	1091-7667	24056165
1532-0065,1052-1453	1532-0065	26842005
1943-2690,1052-5173	1943-2690	27714986
2153-9987,1052-8008	2153-9987	15751233
2164-4713,1052-9233	2164-4713	6295090
1521-0677,1052-9411	1521-0677	15752372
1573-658X,1053-0789	1573-658X	15753679
1098-2256,1053-4725	1098-2256	27714332
2405-9374,1053-6981	2405-9374	15754418
2169-009X,1053-8259	2169-009X	15761468
1528-6908,1053-8755	1528-6908	15753437
1532-2408,1054-3414	1532-2408	15760282
1540-9600,1055-1379	1540-9600	15761651
1540-8590,1055-1387	1540-8590	15816564
1945-6174,1055-3177	1945-6174	2243682
1477-2876,1055-6915	1477-2876	15759044
1522-9661,1055-8330	1522-9661	5421127
1944-7086,1056-4934	1944-7086	15734675
1537-0437,1056-6171	1537-0437	2126606
1522-7189,1056-9014	1522-7189	27714033
1520-6661,1057-0802	1520-6661	27714196
1547-0660,1057-3321	1547-0660	15760190
1099-0917,1057-3593	1099-0917	15751474
1876-5610,1058-3947	1876-5610	18208366
1430-9134,1058-6407	1430-9134	15716720
1940-512X,1058-7446	1940-512X	15755340
1477-2671,1058-9759	1477-2671	15817135
2168-8648,1059-8596	2168-8648	7743583
2051-6169,1059-8650	2051-6169	15759501
2164-926X,1059-9789	2164-926X	7715325
1573-8337,1060-0396	1573-8337	15764383
1543-5334,1060-6823	1543-5334	15760423
2328-5184,1061-0154	2328-5184	27718425
1557-7848,1061-1428	1557-7848	27718823
1615-5939,1061-1711	1615-5939	26842006
1944-7116,1061-1932	1944-7116	15751759
1944-7167,1061-1975	1944-7167	15753462
1939-0149,1061-4087	1061-4087	5164603
1608-3059,1062-3590	1608-3059	15766928
1608-3326,1062-3604	1608-3326	27725172
1945-6182,1062-4783	1945-6182	4689674
1522-7162,1062-6417	1522-7162	27714238
1234-981X,1062-7987	1234-981X	5413092
1531-8559,1063-7796	1531-8559	2616589
1532-2343,1064-122X	1532-2343	15746118
1555-6530,1064-2307	1555-6530	15756564
1934-7715,1064-5578	1934-7715	15750491
1468-4802,1064-5616	1468-4802	15766390
2326-2397,1065-657X	2326-2397	15751017
1520-6823,1065-7541	1520-6823	27714266
1934-869X,1065-898X	1934-869X	15753518
1608-3288,1066-3622	1608-3288	15766201
1934-810X,1066-369X	1934-810X	15763859
1543-2718,1066-7814	1543-2718	4781559
2168-8613,1068-0896	2168-8613	7743588
1573-9163,1068-1620	1573-9163	27719475
2372-2614,1068-2805	2372-2614	15764866
1934-9416,1068-3623	1934-9416	15427401
1934-8037,1068-3674	1934-8037	27723974
1528-7009,1068-6061	1528-7009	15754626
1540-711X,1068-7777	1540-711X	15758466
1875-8835,1069-2509	1875-8835	15751198
1944-7175,1069-6679	1944-7175	15766819
1468-0041,1070-3535	1468-0041	15764342
1522-7154,1070-9797	1522-7154	27714237
1938-3657,1071-0922	1938-3657	2863196
2471-2620,1071-4839	2471-2620	15733709
2325-2162,1072-0316	2325-2162	15749295
1542-7846,1072-172X	1072-172X	38312865
1751-7613,1072-6349	1751-7613	15757131
1945-001X,1073-2780	1945-001X	15488123
1528-8455,1073-4449	1528-8455	15763121
1533-4295,1073-6840	1073-6840	15764653
2161-4741,1074-164X	2161-4741	15758360
2040-0861,1074-4797	2040-0861	24039939
2204-0919,1074-4827	2204-0919	15816831
1945-5119,1074-9357	1945-5119	15758501
1876-3324,1075-1262	1876-3324	27436709
1520-6343,1075-4261	1520-6343	27714316
1531-8664,1075-7007	1531-8664	27718842
1930-1200,1075-7201	1930-1200	15757868
1234-986X,1075-9417	1234-986X	15745459
2162-951X,1076-2175	2162-951X	5560066
1526-0992,1076-2825	1526-0992	15754575
2326-3709,1077-1158	2326-3709	15766133
1096-116X,1077-2014	1096-116X	15749114
1520-6572,1077-2413	1520-6572	6294967
1095-5577,1077-3150	1095-5577	26842007
1090-2481,1077-3169	1090-2481	15759688
1099-1220,1077-3495	1099-1220	27718319
1099-1603,1077-3509	1099-1603	15749199
2049-3967,1077-3525	2049-3967	15757711
1940-5200,1078-3458	1940-5200	15710293
1522-712X,1078-7844	1522-712X	27714226
1933-2068,1078-7895	1933-2068	15757801
1938-5587,1078-9669	1938-5587	15749701
2332-7413,1079-0195	2332-7413	15765742
2045-7723,1079-0268	2045-7723	26853939
2326-005X,1079-8587	2326-005X	15758766
2376-9130,1080-3548	2376-9130	15746386
1098-2779,1080-4013	1098-2779	15764351
1527-3458,1080-563X	1527-3458	5013184
1531-328X,1081-180X	1531-328X	7742310
1558-3708,1081-1826	1081-1826	15767224
1558-3708,1081-1826	1081-1826	15767224
2374-1325,1082-3220	2374-1325	7743633
1099-1484,1082-5010	1099-1484	15754769
1937-2426,1082-6467	1937-2426	21385770
1560-2281,1083-3668	1560-2281	15766132
1944-706X,1083-4087	1944-706X	15757065
1548-0585,1083-5601	1548-0585	22911496
1940-5588,1084-7138	1940-5588	7838298
1469-3720,1085-5661	1469-3720	5255477
1099-1697,1086-1718	1099-1697	15761417
2375-8619,1086-508X	2375-8619	15751535
2165-3488,1086-7651	2165-3488	15734665
1520-6521,1086-900X	1520-6521	26839503
1758-860X,1087-7142	1758-860X	15761079
1552-7549,1087-724X	1552-7549	7257669
2384-1648,1088-6931	2384-1648	15757072
2158-1428,1089-9995	2158-1428	15767034
1557-7473,1090-6576	1557-7473	15753742
1527-330X,1090-820X	1527-330X	4688581
1528-7017,1091-1367	1528-7017	15758714
1541-4450,1091-2851	1541-4450	27721208
2152-2790,1091-3211	2152-2790	15757684
1526-0968,1091-6660	1526-0968	15759076
2325-0453,1092-0277	2325-0453	15767645
1557-8046,1092-1885	1557-8046	15755851
2328-9651,1092-3934	2328-9651	26849436
1545-083X,1092-6771	1545-083X	15760810
1540-4110,1092-678X	1540-4110	15756938
1534-3138,1092-8480	1534-3138	26842298
2165-6509,1092-8529	2165-6509	15750260
1528-6886,1094-6098	1528-6886	15757055
1557-8364,1094-9313	1557-8364	15746553
1099-1301,1095-1539	1099-1301	1423731
1550-6843,1095-5046	1550-6843	15765969
1096-0929,1096-6080	1096-0929	2446966
2162-2906,1096-2247	2162-2906	15762342
2156-759X,1096-2409	2156-759X	15758222
2154-400X,1096-2506	2154-400X	8058105
2325-6540,1096-3758	2325-6540	15761505
2168-8508,1096-5572	2168-8508	7743617
1523-5408,1096-6781	1523-5408	26842177
1558-0997,1097-1467	1558-0997	15756586
2333-6846,1097-198X	2333-6846	15746133
1558-9293,1097-3958	1558-9293	22911495
1098-2388,8756-0437	1098-2388	1919535
1943-4294,1098-3058	1943-4294	15759510
1099-0747,8755-0024	1099-0747	15755767
1741-9271,1102-4151	1741-9271	4970212
1791-4884,1105-1639	1105-1639	50814596
1791-7573,1106-661X	1791-7573	15759341
2241-2816,1108-3441	2241-2816	15750592
1790-6245,1109-6535	1790-6245	15762348
1687-529X,1110-662X	1687-529X	3250069
1687-0433,1110-8657	1687-0433	5324552
1687-0433,1110-8657	1687-0433	5324552
2240-4538,1120-4052	2240-4538	17632380
1573-7063,1120-7388	1573-7063	4037915
2038-1816,1121-189X	2038-1816	15761581
2038-8306,1121-760X	2038-8306	2192188
2465-1028,1122-0643	2465-1028	26842283
1572-8390,1122-1151	1122-1151	15751039
1538-523X,1122-8385	1538-523X	15752594
2282-4197,1124-3562	2282-4197	26842438
1971-8357,1125-9116	1125-9116	50814870
1468-0734,1127-0020	1468-0734	15753090
1129-2377,1129-2369	1129-2377	26842211
1723-8633,1129-5767	1723-8633	15756165
2340-1370,1130-1082	2340-1370	15753565
1988-8376,1130-2097	1988-8376	15753991
2340-0277,1130-2402	2340-0277	15750602
2254-4135,1130-6149	2254-4135	15757309
2340-3578,1131-7965	2340-3578	15764314
1989-8312,1131-8155	1989-8312	15761074
2174-0887,1133-0104	2174-0887	4777706
1988-2823,1133-0406	1988-2823	16320724
2174-9191,1133-3987	2174-9191	13367388
2174-5676,1133-5351	2174-5676	15766067
2013-035X,1133-6595	2013-035X	27806733
1988-2696,1134-1629	1988-2696	17516864
2529-9913,1134-6795	2529-9913	15750645
1988-3277,1139-1987	1988-3277	15756622
2552-0016,0767-6468	2552-0016	3231228
2581-0758,1411-5883	2581-0758	50515774
2442-9686,0853-3970	0853-3970	50817546
2571-7251,0371-4985	2571-7251	27719745
2571-7146,0378-5858	2571-7146	27712935
2571-7162,1011-0283	2571-7162	26839914
2571-7154,1011-6524	2571-7154	27712936
2571-7243,1421-5659	2571-7243	27719744
2174-5374,1139-613X	2174-5374	50498049
1989-4635,1139-7861	1989-4635	15817529
2118-8254,1140-9304	2118-8254	2933095
1965-0795,1142-2904	1142-2904	3413393
2102-5819,1144-0821	2102-5819	3447665
1960-6648,1146-1225	1960-6648	3313811
2034-6468,1155-3316	2034-6468	15763906
1286-4897,1155-4320	1286-4897	15727037
1764-7177,1155-4339	1764-7177	1846769
1965-0787,1156-8992	1156-8992	3423386
1760-5377,1166-2654	1760-5377	15750231
2118-3147,1166-3030	2118-3147	15817351
1777-5949,1166-7699	1777-5949	2933091
2271-5444,1168-4917	2271-5444	15767258
1179-1977,1172-0360	1179-1977	15760081
1179-1918,1173-2563	1179-1918	15753215
2159-6816,1174-5398	2159-6816	15753411
1179-6901,1174-5886	1179-6901	26842117
1179-1888,1175-0561	1179-1888	18616212
1754-2103,1176-2322	1754-2103	15753659
2230-617X,1176-7839	2230-617X	15817305
1179-2000,1177-1062	1179-2000	15758832
1179-1993,1178-2595	1179-1993	15751217
2463-4131,1178-5527	2463-4131	15756440
1178-9913,1178-9905	1178-9913	21386116
1179-7657,1179-7649	1179-7657	21386155
1916-0976,1180-3479	1180-3479	47518783
1923-5291,1180-3991	1923-5291	15814307
1920-2954,1181-9227	1920-2954	15754908
2291-7063,1188-4517	2291-7063	5030242
2157-0817,1192-6422	2157-0817	5030043
1925-4296,1195-1036	1925-4296	15762261
2376-7626,1195-6860	2376-7626	19597053
1929-7653,1201-0421	1929-7653	27719001
1929-3348,1203-3294	1929-3348	3428617
1615-7109,1203-4754	1615-7109	26842812
2371-1175,1203-8407	2371-1175	15752433
1703-8480,1203-9438	1703-8480	15751786
2336-4335,1210-0552	2336-4335	15760871
1210-3896,1338-3973	1210-3896	50814413
1805-9317,1212-1800	1805-9317	15756507
1805-9309,1212-1819	1805-9309	2060644
1805-9325,1212-1975	1805-9325	2334381
1805-9341,1212-2580	1805-9341	15765632
1805-935X,1212-4834	1805-935X	15764309
1804-4824,1213-1962	1213-1962	50814712
1804-1663,1213-2446	1213-2446	50814713
1804-9338,1214-0821	1214-0821	50769446
1805-9368,1214-1178	1805-9368	1851762
2336-2936,1214-6994	2336-2936	26842353
1841-429X,1220-1766	1841-429X	4346429
2066-8872,1222-2119	2066-8872	26842309
2247-9228,1224-8398	1224-8398	27724095
2287-545X,1225-0171	2287-545X	21386217
2196-4424,1225-0368	2196-4424	15760315
1976-5118,1225-4657	1976-5118	15764074
2383-7810,1225-5025	2383-7810	27721215
1225-925X,1225-9241	1225-9241	15760058
2377-004X,1225-9276	2377-004X	15767191
2288-0186,1225-9306	2288-0186	27720802
2093-7695,1225-9543	1225-9543	50811165
2093-7660,1226-119X	2093-7660	15765139
2093-8144,1226-2560	2093-8144	26842060
2093-0860,1226-2617	2093-0860	15763096
2005-6648,1226-3303	2005-6648	26842387
2093-3827,1226-4512	2093-3827	15757587
2234-6856,1226-4849	1226-4849	27726004
2161-6779,1226-5934	2161-6779	15817774
2287-2051,1226-6183	2287-2051	27722955
2287-6618,1226-7155	2287-6618	27714300
2287-7851,1226-9999	2287-7851	27717404
2288-131X,1229-3857	2288-131X	27723819
2331-7795,1229-4659	2331-7795	15752825
2005-8330,1229-6929	2005-8330	26842124
2092-9323,1229-8093	2092-9323	26853810
2005-4602,1229-8557	2005-4602	15751742
1976-3832,1229-9138	1976-3832	26840001
1573-1324,1230-1612	1573-1324	152053
2353-6403,1230-5057	2353-6403	9347374
1896-1525,1231-1952	1896-1525	15764549
2300-8687,1231-3726	2300-8687	15753829
1898-2263,1232-1966	1898-2263	15756576
2083-6058,1233-2127	2083-6058	15751949
2083-7429,1233-2585	1233-2585	48841796
2450-4947,1233-8680	2450-4947	50498158
2299-8284,1233-9989	2299-8284	11827260
2190-3883,1234-1983	2190-3883	15767059
1798-2383,1239-629X	1798-2383	4767820
1798-2375,1239-6303	1798-2375	4767820
2118-2892,1243-549X	2118-2892	47010190
1968-3871,1245-1274	1968-3871	3401121
1953-809X,1245-2084	1953-809X	3054532
1782-1487,1245-2092	1782-1487	2397112
1782-1517,1245-4060	1782-1517	27718646
2116-7052,1246-0125	2116-7052	15749682
2118-8572,1246-7405	2118-8572	15749414
1248-9204,1265-4906	1248-9204	26842781
2295-9718,1250-7334	2295-9718	15749508
1777-5388,1252-6576	1252-6576	2933146
1969-6744,1253-1472	1969-6744	47008643
2107-092X,1253-2479	2107-092X	3553088
2261-4265,1254-4590	2261-4265	24931013
2259-3780,1254-7689	2259-3780	47009727
1768-3084,1257-0273	1768-3084	15763218
1989-8886,1257-5011	1989-8886	2549100
2271-1856,1257-7537	2271-1856	15758876
2118-7436,1259-1734	2118-7436	19952878
2271-7188,1260-4984	2271-7188	28861718
1777-568X,1262-022X	1777-568X	15762609
2313-514X,1262-2788	2313-514X	15708767
1776-288X,1265-2067	1265-2067	47010087
2118-4518,1266-0078	2118-4518	15764198
2425-1356,1267-4397	2425-1356	15760046
1279-8509,1269-3286	1279-8509	27714203
1965-0655,1273-3830	1273-3830	3217793
2271-1732,1276-2458	2271-1732	3606264
1775-4305,1276-8944	1775-4305	47009260
2263-4746,1277-7897	2263-4746	3428593
2427-0466,1278-3331	2427-0466	15765480
2109-9561,1278-3986	2109-9561	47009266
1951-6274,1278-4699	1951-6274	47010072
1760-4788,1279-7707	1760-4788	23051112
1968-388X,1279-7766	1968-388X	16652648
1775-4283,1281-2463	1775-4283	15767589
2258-7748,1284-9340	1284-9340	3123583
2259-3799,1286-9449	2259-3799	15757109
1777-540X,1287-2431	1287-2431	3428644
2102-5169,1287-7352	2102-5169	15752974
1776-2782,1288-6629	1776-2782	47009621
1777-554X,1290-7839	1777-554X	47009736
1776-2995,1291-6412	1776-2995	3326856
1953-8189,1294-4475	1953-8189	15751726
2105-2174,1294-6303	2105-2174	15758093
1760-6128,1295-0661	1760-6128	15756602
2107-0636,1297-6628	2107-0636	47010064
1968-3928,1298-6046	1968-3928	15764783
1955-2408,1298-9800	1298-9800	3212307
1969-6876,1299-5495	1969-6876	2974843
1303-6173,1300-011X	1303-6173	2072490
1309-4866,1300-0667	1309-4866	15760068
1308-8521,1300-0705	1308-8521	26842128
2147-5377,1300-0845	2147-5377	50498143
2147-4303,1300-1590	2147-4303	50498142
2149-9683,1300-2899	2149-9683	50498136
1309-6273,1300-3070	1309-6273	50498132
2149-2182,1300-3496	2149-2182	50498130
2148-5607,1300-4948	2148-5607	26853879
1305-3124,1300-5251	1300-5251	50814317
2146-3077,1300-6320	2146-3077	26867040
1308-6529,1300-7688	1308-6529	6295627
1308-5263,1300-7777	1308-5263	26842860
1308-9846,1301-2193	1308-9846	50498110
2458-9101,1302-1192	2458-9101	15764164
2564-7717,1302-177X	2564-7717	6038114
2156-6909,1303-2917	2156-6909	15758580
2146-8982,1303-4332	2146-8982	27727034
2146-8427,1304-0855	2146-8427	26842369
1304-1088,1304-1096	1304-1088	50515326
1305-3612,1305-3825	1305-3612	26842393
1309-0313,1305-8282	1309-0313	26842442
1308-6278,1306-0015	1308-6278	26842444
1307-7945,1306-696X	1307-7945	27020353
1308-5735,1308-5727	1308-5735	26842313
2148-3817,1308-7649	2148-3817	26853952
2528-8644,1308-8475	1308-8475	50761558
1308-8734,1308-8742	1308-8742	26842207
1309-0380,1309-0399	1309-0380	26842289
1314-3530,1310-2818	1314-3530	15761673
1313-3543,1311-1477	1313-3543	15751341
1314-8060,1311-1728	1314-8060	15750730
1314-3395,1311-8080	1314-3395	15750727
2451-3105,1312-2517	1312-2517	50817642
1314-5673,1312-5192	1314-5673	15752557
1314-7544,1312-7586	1314-7544	15753084
1314-7536,1312-7594	1314-7536	15762953
1314-7552,1312-885X	1314-7552	15765737
1314-7579,1312-8876	1314-7579	15762946
1314-7625,1313-6550	1314-7625	15763065
1314-8796,1314-8788	1314-8788	50814305
2350-5141,1318-1874	1318-1874	12640721
1854-8377,1318-3222	1854-8377	15756210
1581-1832,1318-5454	1318-5454	50814541
1658-3183,1319-6138	1658-3183	26842001
2191-4281,1319-8025	2191-4281	15750070
2204-0064,1320-0968	2204-0064	15766317
1835-9264,1321-3660	1835-9264	5245820
1175-0979,1321-5906	1175-0979	15758858
2158-3471,1321-6597	2158-3471	15757471
2049-7792,1321-8166	2049-7792	7270997
1839-3543,1322-9400	1839-3543	15759000
1448-6067,1323-5818	1448-6067	15765166
1838-6059,1323-8922	1838-6059	15767263
1469-9974,1323-9104	1469-9974	15750494
1440-0979,1324-3780	1440-0979	15753845
1835-8535,1324-9347	1835-8535	12005743
1325-4340,2205-4952	2205-4952	15763076
2049-7784,1326-0111	2049-7784	15767196
2321-5410,1326-365X	2321-5410	15749545
2204-2261,1328-7982	2204-2261	15764687
1442-200X,1328-8067	1328-8067	7159237
1329-1440,2202-7904	2202-7904	15751479
1848-6096,1330-0288	1848-6096	15767309
1848-7386,1330-0520	1848-7386	21385093
1846-7482,1330-0962	1846-7482	15746691
1846-6605,1330-6928	1846-6605	15757479
1848-9710,1331-2294	1848-9710	27718725
1849-1391,1333-1124	1849-1391	15746434
1848-9184,1333-2546	1848-9184	15755194
1338-0532,1336-1589	1336-1589	50814417
1337-0960,1338-0230	1338-0230	50814300
1338-7227,1337-3463	1337-3463	50814406
1338-2144,1338-1563	1338-1563	50814414
1338-5011,1338-1954	1338-1954	50814409
1339-3367,1338-8339	1338-8339	50814405
1861-0293,1340-3443	1861-0293	20182030
1880-3873,1340-3478	1880-3873	26842628
1347-7501,1340-3516	1347-7501	26867038
2189-1893,1340-3656	2189-1893	15750824
1881-8161,1340-4210	1881-8161	15763582
1880-4225,1340-8097	1880-4225	15756488
1881-6681,1341-027X	1881-6681	15759822
2186-1005,1341-1098	2186-1005	15751639
1347-8400,1341-1756	1341-1756	27724691
2188-4765,1341-7215	2188-4765	15763536
1881-3976,1341-7592	1881-3976	15759167
2188-5117,1341-7908	2188-5117	15761209
1437-7799,1342-1751	1437-7799	26842022
1883-4701,1342-4181	1883-4701	21385142
1884-0205,1342-4815	1884-0205	26842461
1347-4405,1342-6311	1347-4405	26867035
1880-0068,1342-8144	1880-0068	2521225
1881-1191,1343-2826	1881-1191	15766147
1348-6160,1343-4152	1348-6160	27719510
2188-8361,1344-1272	2188-8361	15767293
1751-3928,1344-1698	1751-3928	15765388
2186-2451,1344-3542	2186-2451	15751686
1882-5974,1344-3755	1882-5974	45826892
1348-8813,1344-3992	1348-8813	15754904
1863-2092,1344-4964	1863-2092	27714405
1884-2836,1344-6304	1884-2836	27020387
1881-3984,1344-6606	1881-3984	15759167
1348-1290,1344-7629	1348-1290	27719146
1880-7291,1344-7882	1880-7291	27719484
1883-5813,1345-4749	1883-5813	15764912
1469-8129,1345-5078	1345-5078	6979868
1884-3778,1346-1427	1884-3778	15817831
2042-6550,1346-213X	2042-6550	15760997
1479-8301,1346-3500	1479-8301	27020360
1880-9952,1346-4280	1880-9952	26841980
1349-0486,1346-7395	1349-0486	4358377
1880-2206,1347-3182	1880-2206	26842414
1880-0920,1347-4367	1880-0920	18019459
1882-0999,1348-5032	1882-0999	15764926
1348-6365,1882-2754	1882-2754	15763849
1868-8659,1348-8503	1348-8503	15816816
1349-4147,1348-8945	1349-4147	6158243
1884-619X,1349-807X	1884-619X	15757893
1479-182X,1350-2328	1479-182X	15751619
1359-7094,1350-2344	1359-7094	15760150
1359-7035,1350-2379	1359-7035	15750483
1359-7000,1350-2409	1359-7000	15750486
1359-706X,1350-2417	1359-706X	15759445
1359-7019,1350-2425	1359-7019	15750485
2222-4262,1350-7532	2222-4262	15750877
2047-8992,1351-5578	2047-8992	13534699
2053-9363,1352-271X	2053-9363	15756584
1751-8563,1353-2618	1751-8563	15761700
2041-496X,1354-0793	2041-496X	7178946
2047-8984,1354-5752	2047-8984	26841932
1473-4885,1355-2570	1473-4885	15751085
1467-8748,1355-4905	1467-8748	2269599
2326-6384,1355-6207	2326-6384	15756908
1757-0409,1355-6509	1757-0409	15763265
1469-8420,1355-8005	1469-8420	15749308
1747-4426,1357-0927	1747-4426	15757565
2044-0456,1357-3217	2044-0456	15758898
1469-5804,1357-6283	1469-5804	15750708
2052-286X,1357-6321	2052-286X	15763040
1369-1643,1357-714X	1369-1643	26841949
1759-7382,1358-0574	1759-7382	15752222
1469-9443,1358-1651	1358-1651	15752929
2047-9468,1358-2291	2047-9468	15710288
2059-9773,1359-4575	2059-9773	15757688
2042-8782,1359-5474	2042-8782	15746479
2040-2058,1359-6535	2040-2058	4775353
1875-9092,1359-9364	1875-9092	26839842
1740-7850,1361-455X	1740-7850	15753501
1743-7997,1361-9462	1743-7997	15766763
2049-4459,1362-1572	2049-4459	15746141
1740-4568,1362-1807	1740-4568	15767301
1740-4568,1362-1807	1740-4568	15767301
1743-9396,1362-3699	1743-9396	27714185
2050-456X,1362-7937	2050-456X	15757989
1364-2626,1363-2434	1364-2626	15751179
1743-1689,1363-7320	1743-1689	15817537
1755-7550,1364-5145	1755-7550	15755278
1364-5471,1472-779X	1472-779X	29043685
1875-7081,1364-8535	1875-7081	5186602
1528-2716,1365-0556	1528-2716	15752594
1365-2257,1751-5521	1365-2257	15751320
1365-2281,1475-097X	1365-2281	15749138
1365-3091,1469-3496	1469-3496	15765865
1469-2929,1366-6169	1469-2929	15758085
1996-9759,1366-7017	1996-9759	15761055
1472-4154,1366-8714	1472-4154	6294965
1747-5082,1367-4587	1747-5082	15750012
1931-227X,1367-7543	1931-227X	28807355
1747-7603,1368-3500	1747-7603	15749708
2044-2394,1369-4154	2044-2394	6365481
2048-4011,1369-4332	2048-4011	15755350
1469-2864,1369-6823	1469-2864	1475834
1782-1401,1370-074X	1782-1401	2933132
1782-1428,1373-847X	1782-1428	3580132
2034-1954,1374-8505	2034-1954	15749762
2295-9033,1379-2547	2295-9033	15764284
1573-8159,1381-1118	1573-8159	15752087
1573-0603,1381-5741	1573-0603	15752151
1572-8846,1382-3019	1572-8846	15762506
2188-1650,1382-3469	2188-1650	15754845
1477-2736,1384-1289	1477-2736	15751022
1573-6512,1385-1306	1573-6512	15756156
1573-7543,1386-7857	1573-7543	127991
1573-1103,1387-2842	1573-1103	15749759
1568-5233,1387-6813	1568-5233	15767576
1569-996X,1387-9316	1569-996X	15757499
1571-8042,1388-9036	1571-8042	15754185
1573-7519,1389-0166	1573-7519	4787289
1744-5000,1389-5265	1744-5000	15761872
1570-0623,1389-9791	1570-0623	15759762
1390-8065,1390-1249	1390-8065	50515369
2528-7788,1390-5384	2528-7788	21385279
2279-2201,1391-491X	1391-491X	50816516
2424-6271,1391-4987	2424-6271	27727152
2386-1363,1391-9318	2386-1363	50515528
2335-8750,1392-1142	1392-1142	50816960
2029-5731,1392-1215	2029-5731	15765466
2335-884X,1392-124X	2335-884X	3476279
1648-3502,1392-1541	1648-3502	15817257
2029-2139,1392-1649	2029-2139	15752675
2029-932X,1392-1665	2029-932X	27724641
2029-5839,1392-2785	2029-5839	15753182
2351-6534,1392-5520	2351-6534	15750773
1648-3510,1392-6292	1648-3510	15472986
2009-0021,1393-7197	2009-0021	6087105
2180-4303,1394-195X	2180-4303	26841912
2180-4184,1394-2603	2180-4184	15762163
2590-4159,1394-6234	2590-4159	15758064
1399-3011,1397-002X	1399-3011	15749458
1600-0544,1397-5927	1600-0544	15763251
2296-4495,1405-213X	1405-213X	27725781
2007-3496,1405-2253	2007-3496	27722615
2007-9737,1405-5546	2007-9737	17118848
2448-7147,1405-7425	2448-7147	15755220
1406-0949,1406-0957	1406-0957	15745323
2334-4385,1406-099X	2334-4385	15758125
1736-7786,1406-2070	1736-7786	12362674
2228-3897,1406-3859	2228-3897	12358496
1736-7409,1406-4243	1736-7409	3742733
1736-8723,1406-9954	1406-9954	12370224
1407-6179,1407-6160	1407-6160	50814393
2255-8756,1407-7337	2255-8756	50515483
2255-8713,1407-7353	1407-7353	50816443
1854-2492,1408-967X	1854-2492	15758291
2215-3373,1409-2433	1409-2433	50816195
